,Playlist,Followers,Songs,Genre 1,Genre 2,URI,Song URI,Popularity,Artist Name,Song Name
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:0BCNSmIcyYpFd62IucNCbB,62,Wiz Khalifa,Memory Lane
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:5bLGQqcpsz5ISWeihZfJnR,80,Russ,Are You Entertained (feat. Ed Sheeran)
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:4L1zI1GJxi0Qq38aSYmsS0,65,King Combs,Can't Stop Won't Stop (feat. Kodak Black)
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:5xHodqknQtgokj6oO1giHb,65,DaBaby,SHOWING OFF HER BODY (with Davido)
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:6IhYveUZOkd1dVuE1mdX5N,50,Stunna Gambino,Self Worth (feat. Lil Perco)
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:4C6Uex2ILwJi9sZXRdmqXp,89,Nicki Minaj,Super Freaky Girl
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:3LtpKP5abr2qqjunvjlX5i,92,Central Cee,Doja
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:7Fp4m0ZcpES3hb99q4WQII,55,Seddy Hendrinx,Groovy (feat. Fivio Foreign)
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:5aUJonYqwhmvgNlWQdH6P1,58,Cordae,So With That
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:3XY9A28it4ayh188fbjCnK,41,Dustystaytrue,Unappreciated
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:5sB27YGIsK9zBi0uVfjOek,71,Nardo Wick,Burning Up (feat. The Kid LAROI)
